YR_EST,LAT_DEG,LONG_DEG,ELEV,PostOffice,State,County,DateEstablished,DateDiscontinued,ZipCode
1795,44.5147971,-68.812809,28,SANDY POINT,ME,WALDO COUNTY,01/01/1795,,4972
1795,37.6284581,-80.2414491,620,SWEET SPRINGS,WV,MONROE COUNTY,01/01/1795,9/6/97,24980
1795,41.4542786,-70.6036395,14,VINEYARD HAVEN,MA,DUKES COUNTY,01/01/1795,,2568
1795,39.6578773,-77.1744279,154,TANEYTOWN,MD,CARROLL COUNTY,02/03/1795,,21787
1795,34.8526176,-82.3940105,307,GREENVILLE,SC,GREENVILLE COUNTY,02/22/1795,,29602
1795,43.1009031,-75.2326641,139,UTICA,NY,ONEIDA COUNTY,02/25/1795,,13504
1795,43.885632,-70.3317195,91,GRAY,ME,CUMBERLAND COUNTY,03/09/1795,,4039
1795,42.2417653,-71.166164,33,DEDHAM,MA,NORFOLK COUNTY,04/01/1795,,2026
1795,40.41483,-74.2295891,15,MATAWAN,NJ,MONMOUTH COUNTY,04/01/1795,,7747
1795,34.6517733,-82.7837515,260,PENDLETON,SC,ANDERSON COUNTY,04/01/1795,,29670
1795,40.2023089,-77.4780419,188,WASHINGTON,PA,WASHINGTON COUNTY,04/01/1795,,15301
1795,42.8706392,-71.9517459,219,PETERBOROUGH,NH,HILLSBOROUGH COUNTY,04/27/1795,,3458
1795,41.2223194,-73.0564953,8,MILFORD,CT,NEW HAVEN COUNTY,05/09/1795,,6460
1795,38.8951118,-77.0363658,7,WASHINGTON,DC,DISTRICT OF COLUMBIA,06/24/1795,,20090
1795,39.8309293,-77.2310955,162,GETTYSBURG,PA,ADAMS COUNTY,07/01/1795,,17325
1795,36.9976403,-79.8919774,345,ROCKY MOUNT,VA,FRANKLIN COUNTY,07/01/1795,,24151
1795,41.2459149,-75.8813075,167,WILKES-BARRE,PA,LUZERNE COUNTY,07/01/1795,,18701
1795,42.7284117,-73.6917851,10,TROY,NY,RENSSELAER COUNTY,08/31/1795,,12180
1795,43.1978624,-70.8736698,19,DOVER,NH,STRATFORD COUNTY,10/01/1795,,3820
1795,43.1339741,-70.9264477,15,DURHAM,NH,STRAFFORD COUNTY,10/01/1795,,3824
1795,39.0623301,-78.9694723,247,MOOREFIELD,WV,HARDY COUNTY,10/14/1795,,26836
1795,41.5034271,-74.0104179,39,NEWBURGH,NY,ORANGE COUNTY,10/27/1795,,12550
1795,36.1658899,-86.7844432,170,NASHVILLE,TN,DAVIDSON COUNTY,11/01/1795,,37229
1795,42.6861973,-72.0439686,304,WINCHENDON,MA,WORCESTER COUNTY,12/07/1795,,1475
1796,42.1131572,-70.8119859,16,HANOVER,MA,PLYMOUTH COUNTY,01/06/1796,,2339
1796,40.0134066,-80.0711662,270,FAIRFIELD,PA,ADAMS COUNTY,01/13/1796,,17320
1796,40.9645293,-76.8844101,143,LEWISBURG,PA,UNION COUNTY,01/14/1796,,17837
1796,43.3036958,-70.7333893,43,NORTH BERWICK,ME,YORK COUNTY,01/28/1796,,3906
1796,42.466763,-70.9494939,11,LYNN,MA,ESSEX COUNTY,03/16/1796,,1901
1796,42.0986867,-75.9179738,264,BINGHAMTON,NY,BROOME COUNTY,04/01/1796,,13902
1796,44.189794,-70.1403312,95,GREENE,ME,ANDROSCOGGIN COUNTY,04/01/1796,,4236
1796,42.5486871,-75.2451685,349,MORRIS,NY,OTSEGO COUNTY,04/01/1796,,13808
1796,38.2454106,-78.1108343,159,ORANGE,VA,ORANGE COUNTY,04/01/1796,,22960
1796,39.3420431,-78.7566839,250,ROMNEY,WV,HAMPSHIRE COUNTY,04/01/1796,,26757
1796,43.2345292,-70.8095018,34,SOUTH BERWICK,ME,YORK COUNTY,04/01/1796,,3908
1796,44.4592341,-69.6775451,53,VASSALBORO,ME,KENNEBEC COUNTY,04/01/1796,,4989
1796,38.4742898,-76.5063419,34,SAINT LEONARD,MD,CALVERT COUNTY,04/06/1796,,20685
1796,40.9312099,-73.8987469,25,YONKERS,NY,WESTCHESTER COUNTY,05/12/1796,,10701
1796,36.1631575,-82.8309861,463,GREENEVILLE,TN,GREENE COUNTY,06/17/1796,,37743
1796,33.0015407,-82.4112377,98,LOUISVILLE,GA,JEFFERSON COUNTY,06/20/1796,,30434
1796,43.8570242,-70.1031057,50,FREEPORT,ME,CUMBERLAND COUNTY,08/19/1796,,4032
1796,40.0064958,-75.7032742,71,DOWNINGTOWN,PA,CHESTER COUNTY,09/10/1796,9/30/26,
1796,45.0781324,-67.1094283,20,ROBBINSTON,ME,WASHINGTON COUNTY,09/16/1796,,4671
1797,42.2770362,-72.4009176,185,BELCHERTOWN,MA,HAMPSHIRE COUNTY,02/13/1797,,1007
1797,40.691492,-73.8056894,13,JAMAICA,NY,QUEENS COUNTY,03/01/1797,,11431
1797,42.974803,-72.521756,114,PUTNEY,VT,WINDHAM COUNTY,03/20/1797,,5346
1797,42.9828438,-76.3404868,208,MARCELLUS,NY,ONONDAGA COUNTY,04/17/1797,,13108
1797,40.884267,-72.3895296,8,SOUTHAMPTON,NY,SUFFOLK COUNTY,05/10/1797,,11968
1797,38.4195689,-76.9033041,3,NEWPORT,MD,CHARLES COUNTY,06/19/1797,6/30/59,
1797,42.1959225,-73.3620564,215,GREAT BARRINGTON,MA,BERKSHIRE COUNTY,08/22/1797,,1230
1797,41.6820563,-69.9597376,4,CHATHAM,MA,BARNSTABLE COUNTY,08/24/1797,,2633
1797,41.8301081,-69.973907,13,EASTHAM,MA,BARNSTABLE COUNTY,08/24/1797,,2642
1797,44.0164588,-70.9806238,131,FRYEBURG,ME,OXFORD COUNTY,08/24/1797,,4037
1797,44.3878453,-69.9667188,86,READFIELD,ME,KENNEBEC COUNTY,08/24/1797,,4355
1797,41.993437,-70.0497457,3,TRURO,MA,BARNSTABLE COUNTY,08/24/1797,,2666
1797,41.9376051,-70.0327996,6,WELLFLEET,MA,BARNSTABLE COUNTY,08/24/1797,,2667
1797,41.3625937,-74.2712613,146,CHESTER,NY,ORANGE COUNTY,08/28/1797,,10918
1797,,,,NEW ANTRIM,NY,ROCKLAND COUNTY,08/28/1797,11/00/1807,
1797,40.8997903,-77.4533235,358,AARONSBURG,PA,CENTRE COUNTY,09/01/1797,,16820
1797,40.5564586,-78.0977847,212,ALEXANDRIA,PA,HUNTINGDON COUNTY,09/01/1797,,16611
1797,40.9133943,-77.7783348,237,BELLEFONTE,PA,CENTRE COUNTY,09/01/1797,,16823
1797,42.4792618,-71.1522766,30,WOBURN,MA,MIDDLESEX COUNTY,09/04/1797,,1801
1797,43.0281329,-73.3812231,149,CAMBRIDGE,NY,WASHINGTON COUNTY,09/14/1797,,12816
1797,44.9864273,-73.4465251,32,CHAMPLAIN,NY,CLINTON COUNTY,09/14/1797,,12919
1797,43.5947889,-73.2656663,117,FAIR HAVEN,VT,RUTLAND COUNTY,09/14/1797,,5743
1797,43.4142375,-73.4876124,48,FORT ANN,NY,WASHINGTON COUNTY,09/14/1797,,12827
1797,44.6994873,-73.4529124,42,PLATTSBURGH,NY,CLINTON COUNTY,09/14/1797,,12901
1797,40.73259,-76.0279869,292,LEWISTOWN,PA,MIFFLIN COUNTY,09/16/1797,,17044
1797,39.2806451,-80.3445341,303,CLARKSBURG,WV,HARRISON COUNTY,09/28/1797,,26301
1797,34.7182174,-76.6638186,3,BEAUFORT,NC,CARTARET COUNTY,10/02/1797,,28516
1797,,,,KING AND QUEEN COURTHOUSE,VA,KING AND QUEEN COUNTY,10/02/1797,,23085
1797,38.7134516,-77.7952712,195,WARRENTON,VA,FAUQUIER COUNTY,10/02/1797,,20186
1797,42.9120072,-77.7455584,198,AVON,NY,LIVINGSTON COUNTY,10/30/1797,,14414
1797,36.5859718,-79.3950228,162,DANVILLE,VA,INDEPENDENT CITY,11/07/1797,,24541
1797,43.2670175,-73.5845598,42,FORT EDWARD,NY,WASHINGTON COUNTY,11/07/1797,,12828
1797,43.6884112,-70.7936719,166,LIMERICK,ME,YORK COUNTY,11/08/1797,,4048
1797,43.0009087,-73.8490111,96,BALLSTON SPA,NY,SARATOGA COUNTY,11/14/1797,,12020
